#ies_format_version: 1.0
#file: 20250807_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250807;	095900;	1754540940.000;	       err32;	       err32
20250807;	095904;	1754540944.000;	       err32;	       err32
20250807;	095908;	1754540948.000;	       err32;	       err32
20250807;	095912;	1754540952.000;	       err32;	       err32
20250807;	095916;	1754540956.000;	       err32;	       err32
20250807;	095920;	1754540960.000;	       err32;	       err32
20250807;	095924;	1754540964.000;	       err32;	       err32
20250807;	095928;	1754540968.000;	       err32;	       err32
20250807;	095932;	1754540972.000;	       err32;	       err32
20250807;	095936;	1754540976.000;	       err32;	       err32
20250807;	095940;	1754540980.000;	       err32;	       err32
20250807;	095944;	1754540984.000;	       err32;	       err32
20250807;	095948;	1754540988.000;	       err32;	       err32
20250807;	095952;	1754540992.000;	       err32;	       err32
20250807;	095956;	1754540996.000;	       err32;	       err32
20250807;	100000;	1754541000.000;	       err32;	       err32
20250807;	100004;	1754541004.000;	       err32;	       err32
20250807;	100008;	1754541008.000;	       err32;	       err32
20250807;	100012;	1754541012.000;	       err32;	       err32
20250807;	100016;	1754541016.000;	       err32;	       err32
20250807;	100020;	1754541020.000;	       err32;	       err32
20250807;	100024;	1754541024.000;	        err8;	        err8
20250807;	100028;	1754541028.000;	        err8;	        err8
20250807;	100032;	1754541032.000;	        err8;	        err8
20250807;	100036;	1754541036.000;	        err8;	        err8
20250807;	100040;	1754541040.000;	        err8;	        err8
20250807;	100044;	1754541044.000;	        err8;	        err8
20250807;	100048;	1754541048.000;	        err8;	        err8
20250807;	100052;	1754541052.000;	        err8;	        err8
20250807;	100056;	1754541056.000;	        err8;	        err8
20250807;	100100;	1754541060.000;	        err8;	        err8
20250807;	100104;	1754541064.000;	        err8;	        err8
20250807;	100108;	1754541068.000;	        err8;	        err8
20250807;	100112;	1754541072.000;	        err8;	        err8
20250807;	100116;	1754541076.000;	        err8;	        err8
20250807;	100120;	1754541080.000;	        err8;	        err8
20250807;	100124;	1754541084.000;	        err8;	        err8
20250807;	100128;	1754541088.000;	        err8;	        err8
20250807;	100132;	1754541092.000;	        err8;	        err8
20250807;	100136;	1754541096.000;	        err8;	        err8
20250807;	100140;	1754541100.000;	        err8;	        err8
20250807;	100144;	1754541104.000;	        err8;	        err8
20250807;	100148;	1754541108.000;	        err8;	        err8
20250807;	100152;	1754541112.000;	        err8;	        err8
20250807;	100156;	1754541116.000;	        err8;	        err8
20250807;	100200;	1754541120.000;	       err32;	       err32
20250807;	100204;	1754541124.000;	       err32;	       err32
20250807;	100208;	1754541128.000;	       err32;	       err32
20250807;	100212;	1754541132.000;	       err32;	       err32
20250807;	100216;	1754541136.000;	       err32;	       err32
20250807;	100220;	1754541140.000;	       err32;	       err32
20250807;	100224;	1754541144.000;	       err32;	       err32
20250807;	100228;	1754541148.000;	       err32;	       err32
20250807;	100232;	1754541152.000;	       err32;	       err32
20250807;	100236;	1754541156.000;	       err32;	       err32
20250807;	100240;	1754541160.000;	       err32;	       err32
20250807;	100244;	1754541164.000;	       err32;	       err32
20250807;	100248;	1754541168.000;	       err32;	       err32
20250807;	100252;	1754541172.000;	       err32;	       err32
20250807;	100256;	1754541176.000;	       err32;	       err32
20250807;	100300;	1754541180.000;	       err32;	       err32
20250807;	100304;	1754541184.000;	       err32;	       err32
20250807;	100308;	1754541188.000;	       err32;	       err32
20250807;	100312;	1754541192.000;	       err32;	       err32
20250807;	100316;	1754541196.000;	       err32;	       err32
20250807;	100320;	1754541200.000;	       err32;	       err32
20250807;	100324;	1754541204.000;	       err32;	       err32
20250807;	100328;	1754541208.000;	       err32;	       err32
20250807;	100332;	1754541212.000;	       err32;	       err32
20250807;	100336;	1754541216.000;	       err32;	       err32
20250807;	100340;	1754541220.000;	       err32;	       err32
20250807;	100344;	1754541224.000;	       err32;	       err32
20250807;	100348;	1754541228.000;	       err32;	       err32
20250807;	100352;	1754541232.000;	       err32;	       err32
20250807;	100356;	1754541236.000;	       err32;	       err32
20250807;	100400;	1754541240.000;	       err32;	       err32
20250807;	100404;	1754541244.000;	       err32;	       err32
20250807;	100408;	1754541248.000;	       err32;	       err32
20250807;	100412;	1754541252.000;	       err32;	       err32
20250807;	100416;	1754541256.000;	       err32;	       err32
20250807;	100420;	1754541260.000;	        err8;	        err8
20250807;	100424;	1754541264.000;	        err8;	        err8
20250807;	100428;	1754541268.000;	        err8;	        err8
20250807;	100432;	1754541272.000;	        err8;	        err8
20250807;	100436;	1754541276.000;	        err8;	        err8
20250807;	100440;	1754541280.000;	        err8;	        err8
20250807;	100444;	1754541284.000;	        err8;	        err8
20250807;	100448;	1754541288.000;	        err8;	        err8
20250807;	100452;	1754541292.000;	        err8;	        err8
20250807;	100456;	1754541296.000;	        err8;	        err8
20250807;	100500;	1754541300.000;	        err8;	        err8
20250807;	100504;	1754541304.000;	        err8;	        err8
20250807;	100508;	1754541308.000;	        err8;	        err8
20250807;	100512;	1754541312.000;	        err8;	        err8
20250807;	100516;	1754541316.000;	        err8;	        err8
20250807;	100520;	1754541320.000;	        err8;	        err8
20250807;	100524;	1754541324.000;	        err8;	        err8
20250807;	100528;	1754541328.000;	        err8;	        err8
20250807;	100532;	1754541332.000;	        err8;	        err8
20250807;	100536;	1754541336.000;	        err8;	        err8
20250807;	100540;	1754541340.000;	        err8;	        err8
20250807;	100544;	1754541344.000;	        err8;	        err8
20250807;	100548;	1754541348.000;	        err8;	        err8
20250807;	100552;	1754541352.000;	        err8;	        err8
20250807;	100556;	1754541356.000;	        err8;	        err8
20250807;	100600;	1754541360.000;	        err8;	        err8
20250807;	100604;	1754541364.000;	        err8;	        err8
20250807;	100608;	1754541368.000;	        err8;	        err8
20250807;	100612;	1754541372.000;	        err8;	        err8
